"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年03月02日","3254.53","3,248.45","3,269.94","3,242.27","15.09B","-0.59%"
"2018年03月01日","3273.75","3,235.09","3,280.15","3,228.58","15.91B","0.44%"
"2018年02月28日","3259.41","3,264.06","3,277.83","3,239.84","15.10B","-0.99%"
"2018年02月27日","3292.07","3,328.67","3,328.67","3,284.63","17.42B","-1.13%"
"2018年02月26日","3329.57","3,307.30","3,335.99","3,281.61","18.86B","1.23%"
"2018年02月23日","3289.02","3,275.43","3,294.13","3,258.49","14.58B","0.63%"
"2018年02月22日","3268.56","3,237.57","3,269.92","3,234.12","13.87B","2.17%"
"2018年02月14日","3199.16","3,188.25","3,203.50","3,171.38","10.03B","0.45%"
"2018年02月13日","3184.96","3,176.11","3,219.22","3,176.11","15.15B","0.98%"
"2018年02月12日","3154.13","3,128.37","3,168.13","3,113.61","15.33B","0.78%"
"2018年02月09日","3129.85","3,172.85","3,180.11","3,062.74","25.64B","-4.05%"
"2018年02月08日","3262.05","3,281.05","3,307.16","3,225.71","20.13B","-1.43%"
"2018年02月07日","3309.26","3,412.74","3,425.54","3,304.01","26.09B","-1.82%"
"2018年02月06日","3370.65","3,418.01","3,440.12","3,364.22","28.06B","-3.35%"
"2018年02月05日","3487.50","3,411.67","3,487.72","3,406.24","21.77B","0.73%"
"2018年02月02日","3462.08","3,419.22","3,463.16","3,388.86","20.81B","0.44%"
"2018年02月01日","3446.98","3,478.67","3,495.09","3,424.42","26.05B","-0.97%"
"2018年01月31日","3480.83","3,470.51","3,495.45","3,454.73","20.73B","-0.21%"
"2018年01月30日","3488.01","3,511.50","3,523.05","3,484.66","18.64B","-0.99%"
"2018年01月29日","3523.00","3,563.64","3,587.03","3,510.27","23.60B","-0.99%"
"2018年01月26日","3558.13","3,535.49","3,574.90","3,534.20","22.27B","0.28%"
"2018年01月25日","3548.31","3,555.17","3,571.48","3,528.03","24.34B","-0.31%"
"2018年01月24日","3559.47","3,553.48","3,569.49","3,527.11","25.30B","0.37%"
"2018年01月23日","3546.50","3,504.34","3,547.22","3,504.34","23.87B","1.29%"
"2018年01月22日","3501.36","3,476.99","3,503.39","3,475.67","21.75B","0.39%"
"2018年01月19日","3487.86","3,481.62","3,498.43","3,474.29","24.75B","0.38%"
"2018年01月18日","3474.75","3,449.88","3,476.55","3,448.79","22.00B","0.87%"
"2018年01月17日","3444.67","3,438.58","3,465.20","3,430.51","26.10B","0.24%"
"2018年01月16日","3436.59","3,403.47","3,437.58","3,401.96","21.15B","0.77%"
"2018年01月15日","3410.49","3,428.95","3,442.50","3,402.31","23.20B","-0.54%"
"2018年01月12日","3428.94","3,423.88","3,435.42","3,417.98","17.41B","0.11%"
"2018年01月11日","3425.34","3,415.59","3,426.48","3,405.64","17.38B","0.10%"
"2018年01月10日","3421.83","3,414.11","3,430.21","3,398.84","20.91B","0.23%"
"2018年01月09日","3413.90","3,406.11","3,417.23","3,403.59","19.15B","0.13%"
"2018年01月08日","3409.48","3,391.55","3,412.73","3,384.56","23.62B","0.52%"
"2018年01月05日","3391.75","3,386.46","3,402.07","3,380.24","21.31B","0.18%"
"2018年01月04日","3385.71","3,371.00","3,392.83","3,365.30","20.70B","0.49%"
"2018年01月03日","3369.11","3,347.74","3,379.92","3,345.29","21.38B","0.62%"
"2018年01月02日","3348.33","3,314.03","3,349.05","3,314.03","20.23B","1.24%"
"2017年12月29日","3307.17","3,295.25","3,308.22","3,292.77","14.16B","0.33%"
"2017年12月28日","3296.38","3,272.29","3,304.10","3,263.73","17.54B","0.63%"
"2017年12月27日","3275.78","3,302.46","3,307.08","3,270.35","16.27B","-0.92%"
"2017年12月26日","3306.12","3,277.84","3,307.30","3,274.33","14.24B","0.78%"
"2017年12月25日","3280.46","3,296.21","3,312.30","3,270.44","14.69B","-0.50%"
"2017年12月22日","3297.06","3,297.69","3,307.33","3,293.44","12.40B","-0.09%"
"2017年12月21日","3300.06","3,281.12","3,309.22","3,267.40","14.21B","0.38%"
"2017年12月20日","3287.61","3,296.74","3,300.21","3,276.12","13.77B","-0.27%"
"2017年12月19日","3296.54","3,266.02","3,296.94","3,266.02","11.51B","0.88%"
"2017年12月18日","3267.92","3,268.03","3,280.54","3,254.18","12.07B","0.05%"
"2017年12月15日","3266.14","3,287.53","3,287.53","3,259.39","13.09B","-0.80%"
"2017年12月14日","3292.44","3,302.93","3,309.53","3,282.57","12.05B","-0.32%"
"2017年12月13日","3303.04","3,278.40","3,304.01","3,273.32","11.20B","0.68%"
"2017年12月12日","3280.81","3,320.31","3,320.31","3,280.33","12.46B","-1.25%"
"2017年12月11日","3322.20","3,290.49","3,322.67","3,288.29","13.20B","0.98%"
"2017年12月08日","3289.99","3,264.48","3,297.13","3,258.76","13.32B","0.55%"
"2017年12月07日","3272.05","3,283.28","3,291.28","3,259.16","13.21B","-0.67%"
"2017年12月06日","3293.96","3,291.31","3,296.20","3,254.61","15.16B","-0.29%"
"2017年12月05日","3303.68","3,301.69","3,315.74","3,300.51","20.83B","-0.18%"
"2017年12月04日","3309.62","3,310.38","3,324.00","3,304.10","14.81B","-0.24%"
"2017年12月01日","3317.62","3,315.11","3,324.52","3,302.44","13.92B","0.01%"
"2017年11月30日","3317.19","3,328.64","3,340.92","3,306.28","15.66B","-0.62%"
"2017年11月29日","3337.86","3,335.57","3,343.06","3,305.57","18.38B","0.13%"
"2017年11月28日","3333.66","3,311.23","3,333.80","3,300.78","13.82B","0.34%"
"2017年11月27日","3322.23","3,346.66","3,347.05","3,315.26","16.64B","-0.94%"
"2017年11月24日","3353.82","3,340.38","3,360.75","3,328.33","15.96B","0.06%"
"2017年11月23日","3351.92","3,425.01","3,429.42","3,342.33","21.53B","-2.29%"
"2017年11月22日","3430.46","3,417.33","3,442.18","3,404.29","21.36B","0.59%"
"2017年11月21日","3410.50","3,382.36","3,419.80","3,377.60","19.69B","0.53%"
"2017年11月20日","3392.40","3,361.36","3,393.11","3,337.12","17.65B","0.28%"
"2017年11月17日","3382.91","3,392.68","3,403.29","3,373.30","24.95B","-0.48%"
"2017年11月16日","3399.25","3,393.19","3,409.65","3,390.59","15.67B","-0.10%"
"2017年11月15日","3402.52","3,416.21","3,423.75","3,396.38","16.88B","-0.79%"
"2017年11月14日","3429.55","3,446.55","3,450.49","3,419.69","19.65B","-0.53%"
"2017年11月13日","3447.84","3,435.18","3,449.16","3,435.08","20.54B","0.44%"
"2017年11月10日","3432.67","3,423.18","3,438.79","3,414.33","18.93B","0.14%"
"2017年11月09日","3427.79","3,410.67","3,428.77","3,408.62","15.86B","0.36%"
"2017年11月08日","3415.46","3,409.15","3,434.49","3,404.88","18.54B","0.06%"
"2017年11月07日","3413.57","3,389.47","3,415.15","3,387.95","19.06B","0.75%"
"2017年11月06日","3388.17","3,369.68","3,389.38","3,356.53","15.46B","0.49%"
"2017年11月03日","3371.74","3,377.74","3,380.57","3,347.36","17.27B","-0.34%"
"2017年11月02日","3383.31","3,391.65","3,391.65","3,372.21","16.69B","-0.37%"
"2017年11月01日","3395.91","3,393.97","3,410.35","3,388.60","18.06B","0.08%"
